,nothing,address,price,size,real_link
0,,"
new
                        3513 CB Utrecht (Pijlsweerd-Zuid)
        ","
                    €1,500 per month
                ",85 m²,"/apartment-for-rent/utrecht/6b329bf4/herenweg"""
1,,"
                        3532 HN Utrecht (Lombok-Oost)
        ","
                    €1,750 per month
                ",100 m²,"/apartment-for-rent/utrecht/334d74df/vleutenseweg"""
2,,"
                        3582 JE Utrecht (Rubenslaan en omgeving)
        ","
                    €1,345 per month
                ",75 m²,"/apartment-for-rent/utrecht/dc0f2dcc/rubenslaan"""
3,,"
                        3582 BH Utrecht (Abstede, Tolsteegsingel e.o.)
        ","
                    €1,295 per month
                ",110 m²,"/apartment-for-rent/utrecht/325e2722/abstederdijk"""
4,,"
                        3513 EP Utrecht (Pijlsweerd-Noord)
        ","
                    €1,450 per month
                ",95 m²,"/apartment-for-rent/utrecht/d78d3866/oudenoord"""
5,,"
                        3532 CZ Utrecht (Nieuw Engeland, Th. a. Kempisplantsoen en omgeving)
        ","
                    €1,550 per month
                ",81 m²,"/apartment-for-rent/utrecht/74d056a9/louis-couperusstraat"""
6,,"
                        3563 VV Utrecht (Vechtzoom-zuid)
        ","
                    €1,650 per month
                ",115 m²,"/house-for-rent/utrecht/63a4d0f3/londrinadreef"""
7,,"
                        3512 NM Utrecht (Domplein, Neude, Janskerkhof)
        ","
                    €1,650 per month
                ",110 m²,"/apartment-for-rent/utrecht/325d9957/korte-nieuwstraat"""
8,,"
                        3564 AE Utrecht (Zambesidreef en omgeving)
        ","
                    €1,125 per month
                ",85 m²,"/apartment-for-rent/utrecht/3dd1cdfc/tafelbergdreef"""
9,,"
                        3562 TL Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,250 per month
                ",82 m²,"/apartment-for-rent/utrecht/798a3092/rhodosdreef"""
10,,"
                        3514 BH Utrecht (Lauwerecht)
        ","
                    €1,475 per month
                ",60 m²,"/apartment-for-rent/utrecht/5e7dc909/gruttersdijk"""
11,,"
                        3523 HM Utrecht (Nieuw Hoograven-Noord)
        ","
                    €1,275 per month
                ",67 m²,"/apartment-for-rent/utrecht/16620dce/huis-ten-boschlaan"""
12,,"
                        3571 XZ Utrecht (Tuindorp-Oost)
        ","
                    €1,675 per month
                ",110 m²,"/apartment-for-rent/utrecht/b76a7683/ruemkelaan"""
13,,"
                        3582 AP Utrecht (Abstede, Tolsteegsingel e.o.)
        ","
                    €1,550 per month
                ",66 m²,"/apartment-for-rent/utrecht/a0bff797/looierstraat"""
14,,"
                        3562 XT Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,350 per month
                ",80 m²,"/apartment-for-rent/utrecht/94552607/einsteindreef"""
15,,"
                        3527 AR Utrecht (Kanaleneiland-Noord)
        ","
                    €1,350 per month
                ",85 m²,"/apartment-for-rent/utrecht/1ce35f2c/rooseveltlaan"""
16,,"
                        3572 XE Utrecht (Zeeheldenbuurt, Hengeveldstraat en omgeving)
        ","
                    €1,750 per month
                ",70 m²,"/apartment-for-rent/utrecht/9959d649/admiraal-van-gentstraat"""
17,,"
                        3553 VC Utrecht (Julianapark en omgeving)
        ","
                    €1,445 per month
                ",75 m²,"/apartment-for-rent/utrecht/e835f843/hermannus-elconiusstraat"""
18,,"
                        3513 EW Utrecht (Pijlsweerd-Zuid)
        ","
                    €1,750 per month
                ",89 m²,"/apartment-for-rent/utrecht/2cf03b8d/westerdijk"""
19,,"
                        3526 SR Utrecht (Kanaleneiland-Zuid)
        ","
                    €1,275 per month
                ",85 m²,"/apartment-for-rent/utrecht/bc6cd345/azielaan"""
20,,"
                        3562 SJ Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,375 per month
                ",81 m²,"/apartment-for-rent/utrecht/063cb4c7/korfoedreef"""
21,,"
                        3584 GT Utrecht (Rijnsweerd)
        ","
                    €1,295 per month
                ",63 m²,"/apartment-for-rent/utrecht/7b5aa7b1/eduard-verkadelaan"""
22,,"
                        3573 AG Utrecht (Voordorp en Voorveldsepolder)
        ","
                    €1,350 per month
                ",78 m²,"/apartment-for-rent/utrecht/ec162e0a/aartsbisschop-romerostraat"""
23,,"
                        3571 PB Utrecht (Tuindorp-Oost)
        ","
                    €1,300 per month
                ",70 m²,"/apartment-for-rent/utrecht/508f19bc/hijmans-van-den-berghlaan"""
24,,"
                        3554 CL Utrecht (Geuzenwijk)
        ","
                    €1,495 per month
                ",89 m²,"/apartment-for-rent/utrecht/d7a5d24c/jacob-simonsz-de-rijkstraat"""
25,,"
                        3582 GH Utrecht (L. Napoleonplantsoen en omgeving)
        ","
                    €1,425 per month
                ",80 m²,"/apartment-for-rent/utrecht/bfd93471/koningsweg"""
26,,"
                        3552 XE Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,375 per month
                ",75 m²,"/apartment-for-rent/utrecht/a598d368/loevenhoutsedijk"""
27,,"
                        3523 VD Utrecht (Oud Hoograven-Noord)
        ","
                    €1,695 per month
                ",75 m²,"/apartment-for-rent/utrecht/fd9e1ba1/prinses-beatrixplein"""
28,,"
                        3523 AN Utrecht (Tolsteeg en Rotsoord)
        ","
                    €1,495 per month
                ",69 m²,"/apartment-for-rent/utrecht/4afa2cc4/tolsteegplantsoen"""
29,,"
                        3527 JG Utrecht (Transwijk-Noord)
        ","
                    €1,450 per month
                ",103 m²,"/apartment-for-rent/utrecht/64fc68e3/van-vollenhovenlaan"""
30,,"
                        3581 CG Utrecht (Buiten Wittevrouwen)
        ","
                    €1,680 per month
                ",64 m²,"/apartment-for-rent/utrecht/dadeeb1c/maliebaan"""
31,,"
                        3552 CR Utrecht (Ondiep)
        ","
                    €1,750 per month
                ",140 m²,"/house-for-rent/utrecht/0dd9d8f0/thorbeckelaan"""
32,,"
                        3511 AV Utrecht (Breedstraat en Plompetorengracht en omgeving)
        ","
                    €1,350 per month
                ",60 m²,"/apartment-for-rent/utrecht/2223e609/oudegracht"""
33,,"
                        3551 SL Utrecht (2e Daalsebuurt en omgeving)
        ","
                    €1,450 per month
                ",58 m²,"/house-for-rent/utrecht/d2f08938/dirkje-mariastraat"""
34,,"
                        3521 BE Utrecht (Dichterswijk)
        ","
                    €1,700 per month
                ",70 m²,"/apartment-for-rent/utrecht/507b14ef/veilingstraat"""
35,,"
                        3512 BD Utrecht (Domplein, Neude, Janskerkhof)
        ","
                    €1,700 per month
                ",75 m²,"/apartment-for-rent/utrecht/c1e2195b/jansveld"""
36,,"
                        3513 DD Utrecht (Pijlsweerd-Zuid)
        ","
                    €1,695 per month
                ",67 m²,"/apartment-for-rent/utrecht/70a6fd34/jongeneelwerf"""
37,,"
                        3583 AD Utrecht (Rubenslaan en omgeving)
        ","
                    €1,550 per month
                ",68 m²,"/apartment-for-rent/utrecht/3cfc102c/adriaen-van-ostadelaan"""
38,,"
                        3531 GC Utrecht (Lombok-West)
        ","
                    €1,350 per month
                ",75 m²,"/apartment-for-rent/utrecht/75b0506b/daendelsstraat"""
39,,"
                        3562 TM Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,325 per month
                ",81 m²,"/apartment-for-rent/utrecht/36ea54d3/rhodosdreef"""
40,,"
                        3552 CB Utrecht (Ondiep)
        ","
                    €1,499 per month
                ",55 m²,"/apartment-for-rent/utrecht/45533a93/amandelstraat"""
41,,"
                        3513 EP Utrecht (Pijlsweerd-Noord)
        ","
                    €1,750 per month
                ",89 m²,"/apartment-for-rent/utrecht/0e2aa571/oudenoord"""
42,,"
                        3564 AB Utrecht (Zambesidreef en omgeving)
        ","
                    €1,350 per month
                ",93 m²,"/apartment-for-rent/utrecht/956cadab/tafelbergdreef"""
43,,"
                        3562 XS Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,350 per month
                ",90 m²,"/apartment-for-rent/utrecht/a306a0a0/einsteindreef"""
44,,"
                        3511 BD Utrecht (Hoog-Catharijne NS en Jaarbeurs)
        ","
                    €1,595 per month
                ",90 m²,"/apartment-for-rent/utrecht/f5a05add/vredenburg"""
45,,"
                        3527 VB Utrecht (Transwijk-Noord)
        ","
                    €1,195 per month
                ",67 m²,"/apartment-for-rent/utrecht/31822b56/van-eysingalaan"""
46,,"
                        3527 KH Utrecht (Transwijk-Noord)
        ","
                    €1,395 per month
                ",81 m²,"/apartment-for-rent/utrecht/801896a6/telderslaan"""
47,,"
                        3527 HJ Utrecht (Kanaleneiland-Noord)
        ","
                    €1,050 per month
                ",74 m²,"/apartment-for-rent/utrecht/39b39596/eisenhowerlaan"""
48,,"
                        3513 BP Utrecht (Pijlsweerd-Zuid)
        ","
                    €1,650 per month
                ",65 m²,"/house-for-rent/utrecht/f5c10679/singelstraat"""
49,,"
                        3511 PX Utrecht (Springweg en omgeving Geertebuurt)
        ","
                    €1,495 per month
                ",70 m²,"/apartment-for-rent/utrecht/ca3aba48/lange-smeestraat"""
50,,"
                        3511 EH Utrecht (Hoog-Catharijne NS en Jaarbeurs)
        ","
                    €1,700 per month
                ",110 m²,"/apartment-for-rent/utrecht/dbbde2c4/stationsstraat"""
51,,"
                        3581 LC Utrecht (Oudwijk)
        ","
                    €1,595 per month
                ",71 m²,"/house-for-rent/utrecht/2e7b0b7f/oudwijkerdwarsstraat"""
52,,"
                        3526 JT Utrecht (Kanaleneiland-Zuid)
        ","
                    €1,550 per month
                ",108 m²,"/apartment-for-rent/utrecht/7099ff9e/livingstonelaan"""
53,,"
                        3511 PT Utrecht (Springweg en omgeving Geertebuurt)
        ","
                    €1,495 per month
                ",65 m²,"/apartment-for-rent/utrecht/5ece985e/lange-smeestraat"""
54,,"
                        3552 CH Utrecht (Ondiep)
        ","
                    €1,195 per month
                ",70 m²,"/apartment-for-rent/utrecht/0a23d689/ahornstraat"""
55,,"
                        3572 RW Utrecht (Wittevrouwen)
        ","
                    €1,750 per month
                ",75 m²,"/house-for-rent/utrecht/cb6ddb8a/goedestraat"""
56,,"
                        3527 VS Utrecht (Transwijk-Noord)
        ","
                    €1,350 per month
                ",70 m²,"/apartment-for-rent/utrecht/894b20d5/van-eysingalaan"""
57,,"
                        3526 JK Utrecht (Kanaleneiland-Zuid)
        ","
                    €1,425 per month
                ",90 m²,"/apartment-for-rent/utrecht/336f017a/livingstonelaan"""
58,,"
                        3555 EP Utrecht (Zuilen-Noord)
        ","
                    €1,200 per month
                ",63 m²,"/apartment-for-rent/utrecht/32cf547f/burgemeester-norbruislaan"""
59,,"
                        3527 JS Utrecht (Transwijk-Noord)
        ","
                    €1,395 per month
                ",66 m²,"/apartment-for-rent/utrecht/bb0e4e39/van-vollenhovenlaan"""
60,,"
                        3561 GA Utrecht (Taag- en Rubicondreef en omgeving)
        ","
                    €1,250 per month
                ",64 m²,"/apartment-for-rent/utrecht/bb922a54/moezeldreef"""
61,,"
                        3583 AH Utrecht (Rubenslaan en omgeving)
        ","
                    €1,400 per month
                ",80 m²,"/apartment-for-rent/utrecht/f9f4bd80/adriaen-van-ostadelaan"""
62,,"
                        3526 SH Utrecht (Kanaleneiland-Zuid)
        ","
                    €1,095 per month
                ",102 m²,"/apartment-for-rent/utrecht/0a8afaeb/azielaan"""
63,,"
                        3554 AT Utrecht (Geuzenwijk)
        ","
                    €1,350 per month
                ",63 m²,"/apartment-for-rent/utrecht/efd62e1c/van-hoornekade"""
64,,"
                        3511 MG Utrecht (Hooch Boulandt)
        ","
                    €1,650 per month
                ",100 m²,"/apartment-for-rent/utrecht/22edb9b3/arthur-van-schendelstraat"""
65,,"
                        3523 EC Utrecht (Tolsteeg en Rotsoord)
        ","
                    €1,200 per month
                ",52 m²,"/apartment-for-rent/utrecht/628434c4/smaragdplein"""
66,,"
                        3511 VG Utrecht (Springweg en omgeving Geertebuurt)
        ","
                    €1,395 per month
                ",65 m²,"/apartment-for-rent/utrecht/ee1f965e/zwaansteeg"""
67,,"
                        3572 XG Utrecht (Huizingalaan, K. Doormanlaan en omgeving)
        ","
                    €1,550 per month
                ",75 m²,"/apartment-for-rent/utrecht/3536a06f/admiraal-van-gentstraat"""
68,,"
                        3532 GP Utrecht (Nieuw Engeland, Th. a. Kempisplantsoen en omgeving)
        ","
                    €1,495 per month
                ",67 m²,"/apartment-for-rent/utrecht/abcf727c/rhijnvis-feithstraat"""
69,,"
                        3522 TA Utrecht (Rivierenwijk)
        ","
                    €1,250 per month
                ",65 m²,"/house-for-rent/utrecht/ec37e116/westravenstraat"""
70,,"
                        3541 DA Utrecht (Leidsche Rijn-Centrum)
        ","
                    €1,695 per month
                ",101 m²,"/apartment-for-rent/utrecht/090e9ed5/grauwaartsingel"""
71,,"
                        3563 HZ Utrecht (Vechtzoom-noord, Klopvaart)
        ","
                    €1,400 per month
                ",105 m²,"/house-for-rent/utrecht/70b6d39c/tampicodreef"""
72,,"
                        3513 EP Utrecht (Pijlsweerd-Noord)
        ","
                    €1,495 per month
                ",83 m²,"/apartment-for-rent/utrecht/3a5fd258/oudenoord"""
73,,"
                        3511 AK Utrecht (Lange Elisabethstraat, Mariaplaats en omgeving)
        ","
                    €1,545 per month
                ",78 m²,"/apartment-for-rent/utrecht/cf3e3b40/hekelsteeg"""
74,,"
                        3544 SC Utrecht (Langerak)
        ","
                    €1,550 per month
                ",98 m²,"/apartment-for-rent/utrecht/b343b6b6/houtrakgracht"""
75,,"
                        3531 BX Utrecht (Lombok-Oost)
        ","
                    €1,695 per month
                ",96 m²,"/apartment-for-rent/utrecht/1707e281/moskeeplein"""
76,,"
                        3562 ES Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,375 per month
                ",100 m²,"/apartment-for-rent/utrecht/16d2b8e5/theemsdreef"""
77,,"
                        3527 AR Utrecht (Kanaleneiland-Noord)
        ","
                    €1,500 per month
                ",79 m²,"/apartment-for-rent/utrecht/a35ac0b5/rooseveltlaan"""
78,,"
                        3527 JS Utrecht (Transwijk-Noord)
        ","
                    €1,250 per month
                ",67 m²,"/apartment-for-rent/utrecht/a4ba1789/van-vollenhovenlaan"""
79,,"
                        3514 EE Utrecht (Vogelenbuurt)
        ","
                    €1,495 per month
                ",57 m²,"/apartment-for-rent/utrecht/1c795eec/nieuwe-koekoekstraat"""
80,,"
                        3564 AG Utrecht (Zambesidreef en omgeving)
        ","
                    €1,200 per month
                ",85 m²,"/apartment-for-rent/utrecht/a356a056/tafelbergdreef"""
81,,"
                        3515 GN Utrecht (Lauwerecht)
        ","
                    €1,645 per month
                ",80 m²,"/apartment-for-rent/utrecht/501800a5/lauwerecht"""
82,,"
                        3555 WL Utrecht (Zuilen-Noord)
        ","
                    €1,700 per month
                ",96 m²,"/apartment-for-rent/utrecht/833f6e3b/prof-kohnstammstraat"""
83,,"
                        3522 KC Utrecht (Rivierenwijk)
        ","
                    €1,365 per month
                ",72 m²,"/apartment-for-rent/utrecht/5d5ad9d1/giessenplein"""
84,,"
                        3526 BG Utrecht (Kanaleneiland-Zuid)
        ","
                    €1,300 per month
                ",81 m²,"/apartment-for-rent/utrecht/e3b7881f/rooseveltlaan"""
85,,"
                        3527 KN Utrecht (Transwijk-Noord)
        ","
                    €1,150 per month
                ",96 m²,"/apartment-for-rent/utrecht/23da8c09/van-weerden-poelmanlaan"""
86,,"
                        3527 HM Utrecht (Kanaleneiland-Noord)
        ","
                    €1,300 per month
                ",77 m²,"/apartment-for-rent/utrecht/0c0d7962/eisenhowerlaan"""
87,,"
                        3524 LW Utrecht (Lunetten-Noord)
        ","
                    €1,395 per month
                ",69 m²,"/apartment-for-rent/utrecht/1e6b49ff/wageningseberg"""
88,,"
                        3527 GB Utrecht (Kanaleneiland-Noord)
        ","
                    €1,250 per month
                ",100 m²,"/apartment-for-rent/utrecht/cc8ce1ff/bernadottelaan"""
89,,"
                        3526 SW Utrecht (Kanaleneiland-Zuid)
        ","
                    €1,400 per month
                ",104 m²,"/apartment-for-rent/utrecht/ba97c2c0/azielaan"""
90,,"
                        3526 XV Utrecht (Transwijk-Zuid)
        ","
                    €1,475 per month
                ",84 m²,"/apartment-for-rent/utrecht/1f8b9f64/cor-vlotlaan"""
91,,"
                        3571 XC Utrecht (Tuindorp-Oost)
        ","
                    €1,395 per month
                ",75 m²,"/apartment-for-rent/utrecht/74be7f1a/boekelaan"""
92,,"
                        3562 JL Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,700 per month
                ",92 m²,"/apartment-for-rent/utrecht/880349fa/patmosdreef"""
93,,"
                        3527 KA Utrecht (Transwijk-Noord)
        ","
                    €1,325 per month
                ",71 m²,"/apartment-for-rent/utrecht/52c18b75/loderlaan"""
94,,"
                        3583 HE Utrecht (Wilhelminapark en omgeving)
        ","
                    €1,675 per month
                ",80 m²,"/house-for-rent/utrecht/a8c083da/mauritsstraat"""
95,,"
                        3532 HR Utrecht (Lombok-West)
        ","
                    €1,750 per month
                ",100 m²,"/house-for-rent/utrecht/5b7cfa48/vleutenseweg"""
96,,"
                        3563 EJ Utrecht (Vechtzoom-noord, Klopvaart)
        ","
                    €1,200 per month
                ",62 m²,"/apartment-for-rent/utrecht/5890eb30/agavedreef"""
97,,"
                        3555 ES Utrecht (Zuilen-Noord)
        ","
                    €1,650 per month
                ",100 m²,"/apartment-for-rent/utrecht/b900e780/burgemeester-norbruislaan"""
98,,"
                        3541 CD Utrecht (Leidsche Rijn-Centrum)
        ","
                    €1,600 per month
                ",88 m²,"/apartment-for-rent/utrecht/8ede1b30/dublinstraat"""
99,,"
                        3572 VL Utrecht (Wittevrouwen)
        ","
                    €1,395 per month
                ",80 m²,"/house-for-rent/utrecht/58382100/bollenhofsestraat"""
100,,"
                        3511 PP Utrecht (Lange Nieuwstraat en omgeving)
        ","
                    €1,495 per month
                ",72 m²,"/apartment-for-rent/utrecht/cc1571fb/oudegracht"""
101,,"
                        3511 HV Utrecht (Hooch Boulandt)
        ","
                    €1,695 per month
                ",87 m²,"/apartment-for-rent/utrecht/6cba9b0e/hartingstraat"""
102,,"
                        3533 GJ Utrecht (Oog in Al)
        ","
                    €1,475 per month
                ",72 m²,"/apartment-for-rent/utrecht/4154479e/haendelstraat"""
103,,"
                        3571 PA Utrecht (Tuindorp-Oost)
        ","
                    €1,395 per month
                ",69 m²,"/apartment-for-rent/utrecht/cecf9a1d/hijmans-van-den-berghlaan"""
104,,"
                        3583 CC Utrecht (Schildersbuurt)
        ","
                    €1,500 per month
                ",70 m²,"/apartment-for-rent/utrecht/f0466f15/jacob-van-ruisdaelstraat"""
105,,"
                        3531 HJ Utrecht (Lombok-West)
        ","
                    €1,395 per month
                ",53 m²,"/house-for-rent/utrecht/be416403/billitonstraat"""
106,,"
                        3573 PE Utrecht (Voordorp en Voorveldsepolder)
        ","
                    €1,595 per month
                ",109 m²,"/apartment-for-rent/utrecht/7701365d/pal-maleterstraat"""
107,,"
                        3531 HJ Utrecht (Lombok-West)
        ","
                    €1,650 per month
                ",75 m²,"/apartment-for-rent/utrecht/a927fce3/billitonstraat"""
108,,"
                        3523 CS Utrecht (Tolsteeg en Rotsoord)
        ","
                    €1,375 per month
                ",55 m²,"/apartment-for-rent/utrecht/a7ced9a5/jadelaan"""
109,,"
                        3571 ZP Utrecht (Tuindorp-Oost)
        ","
                    €1,595 per month
                ",110 m²,"/apartment-for-rent/utrecht/e3b6c3d8/de-vooysplantsoen"""
110,,"
                        3513 CG Utrecht (Pijlsweerd-Zuid)
        ","
                    €1,550 per month
                ",78 m²,"/apartment-for-rent/utrecht/3040ad49/herenweg"""
111,,"
                        3511 MP Utrecht (Hooch Boulandt)
        ","
                    €1,600 per month
                ",78 m²,"/apartment-for-rent/utrecht/181f5751/arthur-van-schendelstraat"""
112,,"
                        3527 CS Utrecht (Kanaleneiland-Noord)
        ","
                    €1,295 per month
                ",66 m²,"/apartment-for-rent/utrecht/e1a19df1/van-kleffenslaan"""
113,,"
                        3531 PV Utrecht (Lombok-Oost)
        ","
                    €1,600 per month
                ",95 m²,"/house-for-rent/utrecht/37899e0c/balistraat"""
114,,"
                        3527 VB Utrecht (Transwijk-Noord)
        ","
                    €1,195 per month
                ",75 m²,"/apartment-for-rent/utrecht/133e1726/van-eysingalaan"""
115,,"
                        3527 JS Utrecht (Transwijk-Noord)
        ","
                    €1,250 per month
                ",73 m²,"/apartment-for-rent/utrecht/f53d5952/van-vollenhovenlaan"""
116,,"
                        3511 AA Utrecht (Lange Elisabethstraat, Mariaplaats en omgeving)
        ","
                    €1,045 per month
                ",51 m²,"/apartment-for-rent/utrecht/4224cb1d/zakkendragerssteeg"""
117,,"
                        3522 SW Utrecht (Rivierenwijk)
        ","
                    €1,595 per month
                ",90 m²,"/apartment-for-rent/utrecht/93e455d6/waalstraat"""
118,,"
                        3527 VB Utrecht (Transwijk-Noord)
        ","
                    €1,275 per month
                ",76 m²,"/apartment-for-rent/utrecht/c3f341a4/van-eysingalaan"""
119,,"
                        3583 AG Utrecht (Rubenslaan en omgeving)
        ","
                    €1,495 per month
                ",77 m²,"/apartment-for-rent/utrecht/1f409a6c/adriaen-van-ostadelaan"""
120,,"
                        3581 JS Utrecht (Oudwijk)
        ","
                    €1,595 per month
                ",63 m²,"/house-for-rent/utrecht/82d12349/prinsenstraat"""
121,,"
                        3531 CZ Utrecht (Lombok-Oost)
        ","
                    €1,400 per month
                ",65 m²,"/apartment-for-rent/utrecht/04aa41ea/riouwstraat"""
122,,"
                        3584 GS Utrecht (Rijnsweerd)
        ","
                    €1,250 per month
                ",80 m²,"/apartment-for-rent/utrecht/b1b4c31b/eduard-verkadelaan"""
123,,"
                        3531 PV Utrecht (Lombok-Oost)
        ","
                    €1,400 per month
                ",55 m²,"/apartment-for-rent/utrecht/026cbff5/balistraat"""
124,,"
                        3512 GX Utrecht (Domplein, Neude, Janskerkhof)
        ","
                    €1,470 per month
                ",100 m²,"/apartment-for-rent/utrecht/1e1e6b7b/kintgenshaven"""
125,,"
                        3583 VV Utrecht (Wilhelminapark en omgeving)
        ","
                    €1,695 per month
                ",80 m²,"/apartment-for-rent/utrecht/2b4fec06/graaf-adolfstraat"""
126,,"
                        3544 RB Utrecht (Langerak)
        ","
                    €1,295 per month
                ",109 m²,"/house-for-rent/utrecht/6e901dd9/klifrakplantsoen"""
127,,"
                        3553 VD Utrecht (Julianapark en omgeving)
        ","
                    €1,395 per month
                ",92 m²,"/apartment-for-rent/utrecht/4a02bbd9/hermannus-elconiusstraat"""
128,,"
                        3512 BJ Utrecht (Breedstraat en Plompetorengracht en omgeving)
        ","
                    €1,495 per month
                ",72 m²,"/apartment-for-rent/utrecht/4a4179be/kleine-slachtstraat"""
