nan,"
nan,"
                        3511 MG Utrecht (Hooch Boulandt)
        ","
                    €1,650 per month
                ",100 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/22edb9b3/arthur-van-schendelstraat"">Apartment Arthur van Schendelstraat 172</a>"
nan,"
                        3523 EC Utrecht (Tolsteeg en Rotsoord)
        ","
                    €1,200 per month
                ",52 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/628434c4/smaragdplein"">Apartment Smaragdplein 55</a>"
nan,"
                        3511 VG Utrecht (Springweg en omgeving Geertebuurt)
        ","
                    €1,395 per month
                ",65 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/ee1f965e/zwaansteeg"">Apartment Zwaansteeg</a>"
nan,"
                        3572 XG Utrecht (Huizingalaan, K. Doormanlaan en omgeving)
        ","
                    €1,550 per month
                ",75 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/3536a06f/admiraal-van-gentstraat"">Apartment Admiraal van Gentstraat 37 B</a>"
nan,"
                        3532 GP Utrecht (Nieuw Engeland, Th. a. Kempisplantsoen en omgeving)
        ","
                    €1,495 per month
                ",67 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/abcf727c/rhijnvis-feithstraat"">Apartment Rhijnvis Feithstraat</a>"
nan,"
                        3522 TA Utrecht (Rivierenwijk)
        ","
                    €1,250 per month
                ",65 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/house-for-rent/utrecht/ec37e116/westravenstraat"">House Westravenstraat 11</a>"
nan,"
                        3541 DA Utrecht (Leidsche Rijn-Centrum)
        ","
                    €1,695 per month
                ",101 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/090e9ed5/grauwaartsingel"">Apartment Grauwaartsingel</a>"
nan,"
                        3563 HZ Utrecht (Vechtzoom-noord, Klopvaart)
        ","
                    €1,400 per month
                ",105 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/house-for-rent/utrecht/70b6d39c/tampicodreef"">House Tampicodreef 8</a>"
nan,"
                        3513 EP Utrecht (Pijlsweerd-Noord)
        ","
                    €1,495 per month
                ",83 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/3a5fd258/oudenoord"">Apartment Oudenoord 445</a>"
nan,"
                        3511 AK Utrecht (Lange Elisabethstraat, Mariaplaats en omgeving)
        ","
                    €1,545 per month
                ",78 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/cf3e3b40/hekelsteeg"">Apartment Hekelsteeg</a>"
nan,"
                        3544 SC Utrecht (Langerak)
        ","
                    €1,550 per month
                ",98 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/b343b6b6/houtrakgracht"">Apartment Houtrakgracht 231</a>"
nan,"
                        3531 BX Utrecht (Lombok-Oost)
        ","
                    €1,695 per month
                ",96 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/1707e281/moskeeplein"">Apartment Moskeeplein 46</a>"
nan,"
                        3562 ES Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,375 per month
                ",100 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/16d2b8e5/theemsdreef"">Apartment Theemsdreef 432</a>"
nan,"
                        3527 AR Utrecht (Kanaleneiland-Noord)
        ","
                    €1,500 per month
                ",79 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/a35ac0b5/rooseveltlaan"">Apartment Rooseveltlaan 458</a>"
nan,"
                        3527 JS Utrecht (Transwijk-Noord)
        ","
                    €1,250 per month
                ",67 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/a4ba1789/van-vollenhovenlaan"">Apartment Van Vollenhovenlaan 92</a>"
nan,"
                        3514 EE Utrecht (Vogelenbuurt)
        ","
                    €1,495 per month
                ",57 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/1c795eec/nieuwe-koekoekstraat"">Apartment Nieuwe Koekoekstraat 18 D</a>"
nan,"
                        3564 AG Utrecht (Zambesidreef en omgeving)
        ","
                    €1,200 per month
                ",85 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/a356a056/tafelbergdreef"">Apartment Tafelbergdreef 194</a>"
nan,"
                        3515 GN Utrecht (Lauwerecht)
        ","
                    €1,645 per month
                ",80 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/501800a5/lauwerecht"">Apartment Lauwerecht</a>"
nan,"
                        3555 WL Utrecht (Zuilen-Noord)
        ","
                    €1,700 per month
                ",96 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/833f6e3b/prof-kohnstammstraat"">Apartment Prof. Kohnstammstraat 79</a>"
nan,"
                        3522 KC Utrecht (Rivierenwijk)
        ","
                    €1,365 per month
                ",72 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/5d5ad9d1/giessenplein"">Apartment Giessenplein 37</a>"
nan,"
                        3526 BG Utrecht (Kanaleneiland-Zuid)
        ","
                    €1,300 per month
                ",81 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/e3b7881f/rooseveltlaan"">Apartment Rooseveltlaan 638</a>"
nan,"
                        3527 KN Utrecht (Transwijk-Noord)
        ","
                    €1,150 per month
                ",96 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/23da8c09/van-weerden-poelmanlaan"">Apartment Van Weerden Poelmanlaan</a>"
nan,"
                        3527 HM Utrecht (Kanaleneiland-Noord)
        ","
                    €1,300 per month
                ",77 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/0c0d7962/eisenhowerlaan"">Apartment Eisenhowerlaan</a>"
nan,"
                        3524 LW Utrecht (Lunetten-Noord)
        ","
                    €1,395 per month
                ",69 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/1e6b49ff/wageningseberg"">Apartment Wageningseberg 268</a>"
nan,"
                        3527 GB Utrecht (Kanaleneiland-Noord)
        ","
                    €1,250 per month
                ",100 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/cc8ce1ff/bernadottelaan"">Apartment Bernadottelaan</a>"
nan,"
                        3526 SW Utrecht (Kanaleneiland-Zuid)
        ","
                    €1,400 per month
                ",104 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/ba97c2c0/azielaan"">Apartment Aziëlaan</a>"
nan,"
                        3526 XV Utrecht (Transwijk-Zuid)
        ","
                    €1,475 per month
                ",84 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/1f8b9f64/cor-vlotlaan"">Apartment Cor Vlotlaan</a>"
nan,"
                        3571 XC Utrecht (Tuindorp-Oost)
        ","
                    €1,395 per month
                ",75 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/74be7f1a/boekelaan"">Apartment Boekelaan 135</a>"
nan,"
                        3562 JL Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,700 per month
                ",92 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/880349fa/patmosdreef"">Apartment Patmosdreef</a>"
nan,"
                        3527 KA Utrecht (Transwijk-Noord)
        ","
                    €1,325 per month
                ",71 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/52c18b75/loderlaan"">Apartment Loderlaan 13</a>"
nan,"
                        3583 HE Utrecht (Wilhelminapark en omgeving)
        ","
                    €1,675 per month
                ",80 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/house-for-rent/utrecht/a8c083da/mauritsstraat"">House Mauritsstraat</a>"
nan,"
                        3532 HR Utrecht (Lombok-West)
        ","
                    €1,750 per month
                ",100 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/house-for-rent/utrecht/5b7cfa48/vleutenseweg"">House Vleutenseweg</a>"
nan,"
                        3563 EJ Utrecht (Vechtzoom-noord, Klopvaart)
        ","
                    €1,200 per month
                ",62 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/5890eb30/agavedreef"">Apartment Agavedreef 25</a>"
nan,"
                        3555 ES Utrecht (Zuilen-Noord)
        ","
                    €1,650 per month
                ",100 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/b900e780/burgemeester-norbruislaan"">Apartment Burgemeester Norbruislaan 488</a>"
nan,"
                        3541 CD Utrecht (Leidsche Rijn-Centrum)
        ","
                    €1,600 per month
                ",88 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/8ede1b30/dublinstraat"">Apartment Dublinstraat 44</a>"
nan,"
                        3572 VL Utrecht (Wittevrouwen)
        ","
                    €1,395 per month
                ",80 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/house-for-rent/utrecht/58382100/bollenhofsestraat"">House Bollenhofsestraat</a>"
nan,"
                        3511 PP Utrecht (Lange Nieuwstraat en omgeving)
        ","
                    €1,495 per month
                ",72 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/cc1571fb/oudegracht"">Apartment Oudegracht 364 14</a>"
nan,"
                        3511 HV Utrecht (Hooch Boulandt)
        ","
                    €1,695 per month
                ",87 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/6cba9b0e/hartingstraat"">Apartment Hartingstraat</a>"
nan,"
                        3533 GJ Utrecht (Oog in Al)
        ","
                    €1,475 per month
                ",72 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/4154479e/haendelstraat"">Apartment Händelstraat</a>"
nan,"
                        3571 PA Utrecht (Tuindorp-Oost)
        ","
                    €1,395 per month
                ",69 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/cecf9a1d/hijmans-van-den-berghlaan"">Apartment Hijmans van den Berghlaan 24</a>"
nan,"
                        3583 CC Utrecht (Schildersbuurt)
        ","
                    €1,500 per month
                ",70 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/f0466f15/jacob-van-ruisdaelstraat"">Apartment Jacob van Ruisdaelstraat 125</a>"
nan,"
                        3531 HJ Utrecht (Lombok-West)
        ","
                    €1,395 per month
                ",53 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/house-for-rent/utrecht/be416403/billitonstraat"">House Billitonstraat 26</a>"
nan,"
                        3573 PE Utrecht (Voordorp en Voorveldsepolder)
        ","
                    €1,595 per month
                ",109 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/7701365d/pal-maleterstraat"">Apartment Pal Maleterstraat 29</a>"
nan,"
                        3531 HJ Utrecht (Lombok-West)
        ","
                    €1,650 per month
                ",75 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/a927fce3/billitonstraat"">Apartment Billitonstraat 22 A</a>"
nan,"
                        3523 CS Utrecht (Tolsteeg en Rotsoord)
        ","
                    €1,375 per month
                ",55 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/a7ced9a5/jadelaan"">Apartment Jadelaan</a>"
nan,"
                        3571 ZP Utrecht (Tuindorp-Oost)
        ","
                    €1,595 per month
                ",110 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/e3b6c3d8/de-vooysplantsoen"">Apartment De Vooysplantsoen 22</a>"
nan,"
                        3513 CG Utrecht (Pijlsweerd-Zuid)
        ","
                    €1,550 per month
                ",78 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/3040ad49/herenweg"">Apartment Herenweg</a>"
nan,"
                        3511 MP Utrecht (Hooch Boulandt)
        ","
                    €1,600 per month
                ",78 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/181f5751/arthur-van-schendelstraat"">Apartment Arthur van Schendelstraat</a>"
nan,"
                        3527 CS Utrecht (Kanaleneiland-Noord)
        ","
                    €1,295 per month
                ",66 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/e1a19df1/van-kleffenslaan"">Apartment Van Kleffenslaan</a>"
nan,"
                        3531 PV Utrecht (Lombok-Oost)
        ","
                    €1,600 per month
                ",95 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/house-for-rent/utrecht/37899e0c/balistraat"">House Balistraat 81</a>"
nan,"
                        3527 VB Utrecht (Transwijk-Noord)
        ","
                    €1,195 per month
                ",75 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/133e1726/van-eysingalaan"">Apartment Van Eysingalaan 75</a>"
nan,"
                        3527 JS Utrecht (Transwijk-Noord)
        ","
                    €1,250 per month
                ",73 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/f53d5952/van-vollenhovenlaan"">Apartment Van Vollenhovenlaan</a>"
nan,"
                        3511 AA Utrecht (Lange Elisabethstraat, Mariaplaats en omgeving)
        ","
                    €1,045 per month
                ",51 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/4224cb1d/zakkendragerssteeg"">Apartment Zakkendragerssteeg 6</a>"
nan,"
                        3522 SW Utrecht (Rivierenwijk)
        ","
                    €1,595 per month
                ",90 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/93e455d6/waalstraat"">Apartment Waalstraat</a>"
nan,"
                        3527 VB Utrecht (Transwijk-Noord)
        ","
                    €1,275 per month
                ",76 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/c3f341a4/van-eysingalaan"">Apartment Van Eysingalaan 81</a>"
nan,"
                        3583 AG Utrecht (Rubenslaan en omgeving)
        ","
                    €1,495 per month
                ",77 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/1f409a6c/adriaen-van-ostadelaan"">Apartment Adriaen van Ostadelaan 155</a>"
nan,"
                        3581 JS Utrecht (Oudwijk)
        ","
                    €1,595 per month
                ",63 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/house-for-rent/utrecht/82d12349/prinsenstraat"">House Prinsenstraat</a>"
nan,"
                        3531 CZ Utrecht (Lombok-Oost)
        ","
                    €1,400 per month
                ",65 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/04aa41ea/riouwstraat"">Apartment Riouwstraat</a>"
nan,"
                        3584 GS Utrecht (Rijnsweerd)
        ","
                    €1,250 per month
                ",80 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/b1b4c31b/eduard-verkadelaan"">Apartment Eduard Verkadelaan 9</a>"
nan,"
                        3531 PV Utrecht (Lombok-Oost)
        ","
                    €1,400 per month
                ",55 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/026cbff5/balistraat"">Apartment Balistraat</a>"
nan,"
                        3512 GX Utrecht (Domplein, Neude, Janskerkhof)
        ","
                    €1,470 per month
                ",100 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/1e1e6b7b/kintgenshaven"">Apartment Kintgenshaven</a>"
nan,"
                        3583 VV Utrecht (Wilhelminapark en omgeving)
        ","
                    €1,695 per month
                ",80 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/2b4fec06/graaf-adolfstraat"">Apartment Graaf Adolfstraat</a>"
nan,"
                        3544 RB Utrecht (Langerak)
        ","
                    €1,295 per month
                ",109 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/house-for-rent/utrecht/6e901dd9/klifrakplantsoen"">House Klifrakplantsoen</a>"
nan,"
                        3553 VD Utrecht (Julianapark en omgeving)
        ","
                    €1,395 per month
                ",92 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/4a02bbd9/hermannus-elconiusstraat"">Apartment Hermannus Elconiusstraat 6 bis</a>"
nan,"
                        3512 BJ Utrecht (Breedstraat en Plompetorengracht en omgeving)
        ","
                    €1,495 per month
                ",72 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/4a4179be/kleine-slachtstraat"">Apartment Kleine Slachtstraat 5 A</a>"
